job_title,company_name,location,City,State,time_posted,num_applicants,salary,Min_Salary,Max_Salary,seniority,employment_type,job_function,industry,industry_category,job_title_category
Director Cloud Architecture,"Veracyte, Inc.","San Diego, CA",San Diego,CA,1 day ago,43 applicants,"$180,000.00/yr - $200,000.00/yr",180000,200000,Director,Full-time,Engineering and Information Technology,Biotechnology Research,Healthcare and Life Sciences,Data Architect
Data Architect,"Conch Technologies, Inc","San Diego, CA",San Diego,CA,4 months ago,,"$165,000.00/yr - $220,000.00/yr",165000,220000,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Architect
Data Architect,"MedImpact Healthcare Systems, Inc.","San Diego, CA",San Diego,CA,2 days ago,,"$165,000.00/yr - $220,000.00/yr",165000,220000,Mid-Senior level,Full-time,Engineering and Information Technology,Hospitals and Health Care,Healthcare and Life Sciences,Data Architect
Principal Enterprise Data Architect,Qualcomm,"San Diego, CA",San Diego,CA,2 months ago,93 applicants,"$168,400.00/yr - $252,600.00/yr",168400,252600,Not Applicable,Full-time,Other,Telecommunications,Information Technology and Services,Data Architect
Cloud Data Solution Architect,Itility,"San Diego, CA",San Diego,CA,1 month ago,,"$165,000.00/yr - $220,000.00/yr",165000,220000,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Architect
Senior Data Architect,Cynet Systems,"San Diego, CA",San Diego,CA,5 months ago,,"$160,000.00/yr - $180,000.00/yr",160000,180000,Entry level,Full-time,Engineering and Information Technology,Information Technology & Services,Information Technology and Services,Data Architect
Senior Data Platform Architect,DS Technologies Inc,"Santa Monica, CA",Santa Monica,CA,6 days ago,25 applicants,"$120,000.00/yr - $160,000.00/yr",120000,160000,Mid-Senior level,Contract,Engineering and Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Architect
"VP, Enterprise Architecture",Sony Pictures Entertainment,"Culver City, CA",Culver City,CA,,,"$266,000.00/yr - $315,000.00/yr",266000,315000,Executive,Full-time,Engineering and Information Technology,Entertainment Providers,Media and Entertainment,Data Architect
Solutions Architect,Sahara AI,"Los Angeles, CA",Los Angeles,CA,2 months ago,26 applicants,"$200,000.00/yr - $275,000.00/yr",200000,275000,Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,Information Technology and Services,Data Architect
Data Architect,GOBankingRates,"Los Angeles, CA",Los Angeles,CA,4 months ago,64 applicants,"$220,000.00/yr - $240,000.00/yr",220000,240000,Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",Information Technology and Services,Data Architect
Solutions Architect - Emerging Enterprise,Databricks,"Los Angeles, CA",Los Angeles,CA,1 week ago,,"$220,000.00/yr - $325,000.00/yr",220000,325000,Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,Information Technology and Services,Data Architect
Data Architect,MARSHALL TECHNOLOGIES INC,"Los Angeles, CA",Los Angeles,CA,2 weeks ago,,"$165,000.00/yr - $220,000.00/yr",165000,220000,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Architect
Solutions Architect - Startups,Databricks,"Los Angeles, CA",Los Angeles,CA,6 days ago,30 applicants,"$220,000.00/yr - $325,000.00/yr",220000,325000,Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,Information Technology and Services,Data Architect
Senior Data Architect,Electronic Arts (EA),"Marina del Rey, CA",Marina del Rey,CA,2 days ago,,"$142,900.00/yr - $239,700.00/yr",142900,239700,Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology","Computer Games, IT Services and IT Consulting, and Software Development",Information Technology and Services,Data Architect
Research Analyst,Dechert LLP,San Francisco Bay Area,San Francisco Bay Area,CA,2 days ago,53 applicants,"$96,500.00/yr - $120,500.00/yr",96500,120500,Associate,Full-time,"Research, Information Technology, and Legal",Law Practice,Professional Services and Consulting,Data Analyst
"Quantitative User Experience Researcher, Early Career 2024",Google,"Sunnyvale, CA",Sunnyvale,CA,3 days ago,,"$102,000.00/yr - $150,000.00/yr",102000,150000,Entry level,Full-time,"Art/Creative, Design, and Engineering","Information Services and Technology, Information and Internet",Information Technology and Services,Others
"Research Data Analyst (Hybrid Opportunity, 2 Year Fixed Term)",Stanford University School of Medicine,"Stanford, CA",Stanford,CA,1 week ago,57 applicants,"$82,468.00/yr - $106,256.00/yr",82468,106256,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Higher Education,Non-profit and Education,Data Analyst
"Quantitative Marketing Analyst, Google, Search Marketing",Google,"Mountain View, CA",Mountain View,CA,1 week ago,,"$87,000.00/yr - $128,000.00/yr",87000,128000,Not Applicable,Full-time,"General Business, Strategy/Planning, and Consulting","Information Services and Technology, Information and Internet",Information Technology and Services,Data Analyst
Research Analyst II,"JobTrain, Inc.","Menlo Park, CA",Menlo Park,CA,1 month ago,,"$76,901.86/yr - $82,400.00/yr",76901,82400,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Internet Publishing,Information Technology and Services,Data Analyst
"Research Data Analyst (Hybrid Opportunity, 2 Year Fixed Term)",Stanford University,"Stanford, CA",Stanford,CA,1 week ago,85 applicants,"$82,468.00/yr - $106,256.00/yr",82468,106256,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Higher Education,Non-profit and Education,Data Analyst
"Quantitative UX Researcher, YouTube Ads",Google,"Mountain View, CA",Mountain View,CA,4 days ago,34 applicants,"$122,000.00/yr - $178,000.00/yr",122000,178000,Not Applicable,Full-time,"Art/Creative, Design, and Engineering","Information Services and Technology, Information and Internet",Information Technology and Services,Others
Research Data Analyst 1,Stanford University School of Medicine,"Stanford, CA",Stanford,CA,4 months ago,,"$64,480.00/yr - $97,000.00/yr",64480,97000,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Higher Education,Non-profit and Education,Data Analyst
"Research Data Analyst (Hybrid Opportunity, 2 Year Fixed Term)",Stanford University,"Stanford, CA",Stanford,CA,1 week ago,85 applicants,"$110,000.00/yr - $135,000.00/yr",110000,135000,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Higher Education,Non-profit and Education,Data Analyst
Financial Quantitative Analyst,Augment Jobs,"Los Angeles, CA",Los Angeles,CA,3 months ago,57 applicants,"$60,000.00/yr - $80,000.00/yr",60000,80000,Associate,Full-time,"Research, Analyst, and Information Technology",Financial Services,Finance and Insurance,Data Analyst
Financial Quantitative Analyst,Augment Jobs,"Los Angeles, CA",Los Angeles,CA,3 months ago,38 applicants,"$60,000.00/yr - $80,000.00/yr",60000,80000,Associate,Full-time,"Research, Analyst, and Information Technology",Financial Services,Finance and Insurance,Data Analyst
Research Analyst,Cypris,"Los Angeles, CA",Los Angeles,CA,2 weeks ago,48 applicants,"$70,000.00/yr - $113,000.00/yr",70000,113000,Mid-Senior level,Full-time,Research,Non-profit Organizations and Primary and Secondary Education,Non-profit and Education,Data Analyst
Research Analyst,UCLA Health,"Los Angeles, CA",Los Angeles,CA,5 days ago,,"$102,000.00/yr - $150,000.00/yr",102000,150000,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Hospitals and Health Care,Healthcare and Life Sciences,Data Analyst
Research Analyst,"University of California, San Francisco",San Francisco Bay Area,San Francisco Bay Area,CA,3 weeks ago,53 applicants,"$61,200.00/yr - $77,700.00/yr",61200,77700,Not Applicable,Full-time,"Research, Analyst, and Information Technology",Higher Education,Non-profit and Education,Data Analyst
"Business Analyst, Data Center Planning Delivery (AMER)",Amazon Web Services (AWS),"Seattle, WA",Seattle,WA,1 week ago,43 applicants,"$66,900.00/yr - $143,100.00/yr",66900,143100,Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology",IT Services and IT Consulting,Information Technology and Services,Business Analyst
Research Analyst,Cypris,"New York, NY",New York,NY,2 weeks ago,,"$70,000.00/yr - $113,000.00/yr",70000,113000,Mid-Senior level,Full-time,Research,Non-profit Organizations and Primary and Secondary Education,Non-profit and Education,Data Analyst
Quantitative Researcher - Full-Time Campus Hire,Two Sigma,"New York, United States",New York,NY,1 week ago,,"$200,000.00/yr - $220,000.00/yr",200000,220000,Not Applicable,Full-time,Finance and Sales,Financial Services,Finance and Insurance,Others
Quantitative Trading Analyst,AlphaGrep,"Chicago, IL",Chicago,IL,2 months ago,,"$60,000.00/yr - $130,000.00/yr",60000,130000,Mid-Senior level,Full-time,Finance and Sales,Financial Services,Finance and Insurance,Data Analyst
Quantitative Researcher - Futures,Sartre Group,"Chicago, IL",Chicago,IL,3 days ago,140 applicants,"$70,000.00/yr - $120,000.00/yr",70000,120000,Mid-Senior level,Full-time,Research and Finance,Capital Markets and Financial Services,Finance and Insurance,Others
Junior Quantitative Trader,Selby Jennings,"Chicago, IL",Chicago,IL,1 week ago,155 applicants,"$100,000.00/yr - $150,000.00/yr",100000,150000,Mid-Senior level,Full-time,Finance,Professional Services and Financial Services,Finance and Insurance,Others
Research Analyst,Dorsey Asset Management,"Chicago, IL",Chicago,IL,4 months ago,,"$90,000.00/yr - $130,000.00/yr",90000,130000,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Financial Services,Finance and Insurance,Data Analyst
RESEARCH ANALYST II,Duke University,"Durham, NC",Durham,NC,1 week ago,,"$70,000.00/yr - $120,000.00/yr",70000,120000,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Higher Education,Non-profit and Education,Data Analyst
"Research Analyst II, Center for Advanced Hindsight",Duke University,"Durham, NC",Durham,NC,1 month ago,,"$70,000.00/yr - $80,000.00/yr",70000,80000,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Higher Education,Non-profit and Education,Data Analyst
SENIOR RESEARCH ADMINISTRATION BUSINESS PROCESS ANALYST,Duke University,"Durham, NC",Durham,NC,6 months ago,26 applicants,"$70,000.00/yr - $90,000.00/yr",70000,90000,Mid-Senior level,Full-time,Management and Manufacturing,Higher Education,Non-profit and Education,Business Analyst
"Research Admin Business Process Analyst, Sr",Duke University,"Durham, NC",Durham,NC,4 months ago,29 applicants,"$60,000.00/yr - $80,000.00/yr",60000,80000,Mid-Senior level,Full-time,Management and Manufacturing,Higher Education,Non-profit and Education,Business Analyst
Research Analyst,Augment Jobs,"Austin, TX",Austin,TX,3 months ago,,"$70,000.00/yr - $90,600.00/yr",70000,90600,Associate,Full-time,"Research, Analyst, and Information Technology",Venture Capital and Private Equity Principals,Finance and Insurance,Data Analyst
Market Research Analyst,Augment Jobs,"Austin, TX",Austin,TX,3 weeks ago,,"$60,000.00/yr - $75,000.00/yr",60000,75000,Associate,Full-time,Marketing and Sales,"Manufacturing, Financial Services, and Business Consulting and Services",Finance and Insurance,Data Analyst
Quantitative Associate,"Loomis, Sayles & Company","Boston, MA",Boston,MA,,106 applicants,"$120,000.00/yr - $150,000.00/yr",120000,150000,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Financial Services,Finance and Insurance,Others
Quantitative Analyst (Staff / Sr Staff) - Power Markets,Equilibrium Energy,"Boston, MA",Boston,MA,1 year ago,,"$130,000.00/yr - $160,000.00/yr",130000,160000,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology","Technology, Information and Internet",Information Technology and Services,Data Analyst
Research Analyst,ICE,"Boston, MA",Boston,MA,1 week ago,145 applicants,"$125,000.00/yr - $160,000.00/yr",125000,160000,Not Applicable,Full-time,"Research, Analyst, and Information Technology",Financial Services,Finance and Insurance,Data Analyst
Data Analytics Engineer,Meta,"Sunnyvale, CA",Sunnyvale,CA,2 weeks ago,,"$124,000.00/yr - $176,000.00/yr",124000,176000,Not Applicable,Full-time,Information Technology,"Technology, Information and Internet",Information Technology and Services,Data Analyst
Senior Data Engineer,Walmart Global Tech,"Sunnyvale, CA",Sunnyvale,CA,2 weeks ago,,"$117,000.00/yr - $234,000.00/yr",117000,234000,Mid-Senior level,Full-time,Information Technology and Engineering,Software Development,Information Technology and Services,Data Engineer
Data Analytics Engineer,Natron Energy,"Santa Clara, CA",Santa Clara,CA,3 months ago,,"$106,500.00/yr - $155,500.00/yr",106500,155500,Entry level,Full-time,Information Technology,Manufacturing,Manufacturing,Data Analyst
Data Engineer,Hayden AI,"San Francisco, CA",San Francisco,CA,3 weeks ago,157 applicants,"$144,000.00/yr - $171,000.00/yr",144000,171000,Entry level,Full-time,Information Technology,Software Development,Information Technology and Services,Data Engineer
"Data Engineer, Product",Notion,"San Francisco, CA",San Francisco,CA,3 days ago,139 applicants,"$170,000.00/yr - $235,000.00/yr",170000,235000,Not Applicable,Full-time,Engineering and Information Technology,Software Development,Information Technology and Services,Data Engineer
Staff Data Engineer - Data Science,LinkedIn,"Sunnyvale, CA",Sunnyvale,CA,4 days ago,,"$147,000.00/yr - $240,000.00/yr",147000,240000,Not Applicable,Full-time,Engineering,"Technology, Information and Internet and IT Services and IT Consulting",Information Technology and Services,Data Engineer
"Data Engineer, Analytics",Meta,"Menlo Park, CA",Menlo Park,CA,2 days ago,,"$46,000.63/yr - $134,000.00/yr",46000,134000,Not Applicable,Full-time,Information Technology,"Technology, Information and Internet",Information Technology and Services,Data Engineer
Analytics Engineer (L4) - Finance,Netflix,"Los Gatos, CA",Los Gatos,CA,2 weeks ago,,"$170,000.00/yr - $720,000.00/yr",170000,720000,Not Applicable,Full-time,Other,Entertainment Providers,Media and Entertainment,Data Analyst
Data Engineer,Brex,"San Francisco, CA",San Francisco,CA,4 days ago,,"$120,800.00/yr - $151,000.00/yr",120800,151000,Entry level,Full-time,Information Technology,Financial Services,Finance and Insurance,Data Engineer
Data Engineer (L5) - Games,Netflix,"Los Gatos, CA",Los Gatos,CA,1 week ago,,"$170,000.00/yr - $720,000.00/yr",170000,720000,Not Applicable,Full-time,Other,Entertainment Providers,Media and Entertainment,Data Engineer
Data/BI Engineer,Xenon arc,"Bellevue, WA",Bellevue,WA,1 week ago,,"$85,000.00/yr - $100,000.00/yr",85000,100000,Associate,Full-time,Information Technology and Research,Chemical Manufacturing,Manufacturing,Data Analyst
Data Engineer,Amazon,"Seattle, WA",Seattle,WA,2 weeks ago,,"$118,900.00/yr - $205,600.00/yr",118900,205600,Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology",Software Development,Information Technology and Services,Data Engineer
Data Engineer,Wipro,"Redmond, WA",Redmond,WA,1 week ago,,"$85,000.00/yr - $100,000.00/yr",85000,100000,Mid-Senior level,Full-time,Engineering,IT Services and IT Consulting,Information Technology and Services,Data Engineer
Data Engineer,Amazon,"Bellevue, WA",Bellevue,WA,2 weeks ago,,"$118,900.00/yr - $205,600.00/yr",118900,205600,Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology",Software Development,Information Technology and Services,Data Engineer
Data Engineer for Data Platform,"HireIO, Inc.","Seattle, WA",Seattle,WA,6 months ago,,"$115,000.00/yr - $150,000.00/yr",115000,150000,Entry level,Full-time,Information Technology,Non-profit Organizations and Primary and Secondary Education,Non-profit and Education,Data Engineer
"Data Engineer, Analytics",Meta,"Redmond, WA",Redmond,WA,1 day ago,,"$46,000.63/yr - $134,000.00/yr",46000,134000,Not Applicable,Full-time,Information Technology,"Technology, Information and Internet",Information Technology and Services,Data Engineer
Data Engineer,Amazon,"Seattle, WA",Seattle,WA,2 weeks ago,176 applicants,"$118,900.00/yr - $205,600.00/yr",118900,205600,Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology",Software Development,Information Technology and Services,Data Engineer
Data Engineer,Microsoft,"Redmond, WA",Redmond,WA,1 week ago,,"$98,300.00/yr - $208,800.00/yr",98300,208800,Not Applicable,Full-time,Information Technology,Software Development,Information Technology and Services,Data Engineer
"Data Engineer, Amazon Smart Vehicles",Amazon,"Seattle, WA",Seattle,WA,1 week ago,189 applicants,"$91,200.00/yr - $185,000.00/yr",91200,185000,Not Applicable,Full-time,"Quality Assurance, Information Technology, and Engineering",Software Development,Information Technology and Services,Data Engineer
Data Engineer II,Chewy,"Bellevue, WA",Bellevue,WA,1 day ago,,"$115,500.00/yr - $183,500.00/yr",115500,183500,Entry level,Full-time,Information Technology,Retail,Retail and Consumer Services,Data Engineer
Data Engineer,SynergisticIT,"Redmond, WA",Redmond,WA,3 months ago,38 applicants,"$98,300.00/yr - $208,800.00/yr",98300,208800,Entry level,Contract,Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Engineer
Data Engineer,Fig - Food Is Good,"Seattle, WA",Seattle,WA,6 months ago,185 applicants,"$115,000.00/yr - $150,000.00/yr",115000,150000,Entry level,Full-time,Engineering and Information Technology,Wellness and Fitness Services,Hospitality and Leisure,Data Engineer
Data Engineer (L5) - Product (Device),Netflix,"San Francisco, United States",San Francisco,CA,1 week ago,,"$170,000.00/yr - $720,000.00/yr",170000,720000,Not Applicable,Full-time,Other,Entertainment Providers,Media and Entertainment,Data Engineer
Data Visualization Engineer (L4) - Content & Studio,Netflix,"San Francisco, United States",San Francisco,CA,2 weeks ago,,"$170,000.00/yr - $720,000.00/yr",170000,720000,Not Applicable,Full-time,Other,Entertainment Providers,Media and Entertainment,Data Analyst
Data Engineer (L5) - Product,Netflix,"Seattle, United States",Seattle,WA,3 days ago,,"$170,000.00/yr - $720,000.00/yr",170000,720000,Not Applicable,Full-time,Other,Entertainment Providers,Media and Entertainment,Data Engineer
Data Engineer (Entry Level),Ericsson,"Plano, TX",Plano,TX,2 weeks ago,,"$90,000.00/yr - $180,000.00/yr",90000,180000,Not Applicable,Full-time,Other,Telecommunications,Information Technology and Services,Data Engineer
Entry Data Engineer,VideoAmp,"Los Angeles, CA",Los Angeles,CA,2 weeks ago,,"$90,000.00/yr - $115,000.00/yr",90000,115000,Entry level,Full-time,Information Technology,Advertising Services,Media and Entertainment,Data Engineer
Data Engineer,Walgreens,"Deerfield, IL",Deerfield,IL,1 week ago,,"$80,000.00/yr - $120,500.00/yr",80000,120500,Not Applicable,Full-time,Information Technology,Retail Pharmacies,Retail and Consumer Services,Data Engineer
"Data Engineer, Finance",Notion,"New York, NY",New York,NY,2 days ago,,"$170,000.00/yr - $235,000.00/yr",170000,235000,Not Applicable,Full-time,Information Technology,Software Development,Information Technology and Services,Data Engineer
Data Engineer I/II,Atomica,"Goleta, CA",Goleta,CA,3 weeks ago,,"$130,000.00/yr - $160,000.00/yr",130000,160000,Entry level,Full-time,Information Technology,Semiconductor Manufacturing,Manufacturing,Data Engineer
Entry Data Engineer,VideoAmp,"Los Angeles, CA",Los Angeles,CA,2 weeks ago,,"$80,000.00/yr - $110,000.00/yr",80000,110000,Entry level,Full-time,Information Technology,Advertising Services,Media and Entertainment,Data Engineer
Data Engineer,Brex,"San Francisco, CA",San Francisco,CA,4 days ago,,"$130,000.00/yr - $160,000.00/yr",130000,160000,Entry level,Full-time,Information Technology,Financial Services,Finance and Insurance,Data Engineer
"Data Engineer - Cloud, Sql",Acunor,"Chicago, IL",Chicago,IL,4 days ago,108 applicants,"$90,000.00/yr - $120,500.00/yr",90000,120500,Entry level,Full-time,Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Engineer
Junior Data Analyst/Engineer,SynergisticIT,"Chicago, IL",Chicago,IL,2 weeks ago,47 applicants,"$70,000.00/yr - $120,000.00/yr",70000,120000,Entry level,Full-time,Information Technology,IT Services and IT Consulting and Civil Engineering,Construction and Real Estate,Data Analyst
Data Engineer,LiveMarket,"Chicago, IL",Chicago,IL,3 months ago,,"$90,000.00/yr - $130,500.00/yr",90000,130500,Entry level,Contract,Information Technology,Software Development,Information Technology and Services,Data Engineer
"Data Engineer, Global Sales Activation, Go-To-Market",Google,"Chicago, IL",Chicago,IL,2 weeks ago,50 applicants,"$118,000.00/yr - $174,000.00/yr",118000,174000,Not Applicable,Full-time,"Project Management, Consulting, and Engineering","Information Services and Technology, Information and Internet",Information Technology and Services,Data Engineer
Data Engineer,Green Thumb Industries (GTI),"Chicago, IL",Chicago,IL,4 days ago,,"$70,000.00/yr - $120,500.00/yr",70000,120500,Entry level,Full-time,Information Technology,Alternative Medicine,Healthcare and Life Sciences,Data Engineer
Data Engineer,PepsiCo,"Chicago, IL",Chicago,IL,1 week ago,,"$100,000.00/yr - $167,500.00/yr",100000,167500,Mid-Senior level,Full-time,Information Technology,Manufacturing and Food and Beverage Services,Manufacturing,Data Engineer
"Data Engineer I, Professional Services, Google Cloud",Google,"Chicago, IL",Chicago,IL,2 weeks ago,,"$118,000.00/yr - $174,000.00/yr",118000,174000,Not Applicable,Full-time,Information Technology and Engineering,"Information Services and Technology, Information and Internet",Information Technology and Services,Data Engineer
Python Developer / Data Engineer,TransMarket Group,"Chicago, IL",Chicago,IL,4 months ago,,"$100,000.00/yr - $150,500.00/yr",100000,150500,Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",Information Technology and Services,Data Engineer
Data Engineer,"Donato Technologies, Inc.","Chicago, IL",Chicago,IL,3 months ago,,"$85,000.00/yr - $130,500.00/yr",85000,130500,Entry level,Full-time,Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Engineer
Data Engineer,CGS Federal (Contact Government Services),"Chicago, IL",Chicago,IL,2 months ago,,"$112,597.33/yr - $152,810.66/yr",112597,152810,Not Applicable,Full-time,Information Technology,Government Relations Services,Others,Data Engineer
Data Engineer - Chicago,Yeah! Global,"Chicago, IL",Chicago,IL,1 week ago,41 applicants,"$70,000.00/yr - $120,500.00/yr",70000,120500,Entry level,Full-time,Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Engineer
Data Engineer,Coinbase,"Portland, OR",Portland,OR,2 weeks ago,87 applicants,"$147,900.00/yr - $174,000.00/yr",147900,174000,Entry level,Full-time,Information Technology,"Technology, Information and Internet",Information Technology and Services,Data Engineer
Data Engineer,Ledgent Technology,"Portland, OR",Portland,OR,2 weeks ago,,"$110,000.00/yr - $125,000.00/yr",110000,125000,Entry level,Full-time,Information Technology,"Technology, Information and Internet",Information Technology and Services,Data Engineer
Data Engineer,Brex,"New York, NY",New York,NY,4 days ago,,"$120,800.00/yr - $151,000.00/yr",120800,151000,Entry level,Full-time,Information Technology,Financial Services,Finance and Insurance,Data Engineer
Data Engineer,Steneral Consulting,"Raleigh, NC",Raleigh,NC,6 days ago,,"$85,000.00/yr - $150,204.96/yr",85000,150204,Mid-Senior level,Contract,Information Technology,Software Development,Information Technology and Services,Data Engineer
"Data Engineer I, Professional Services, Google Cloud",Google,"Austin, TX",Austin,TX,2 weeks ago,,"$120,900.00/yr - $205,600.00/yr",120900,205600,Not Applicable,Full-time,Information Technology and Engineering,"Information Services and Technology, Information and Internet",Information Technology and Services,Data Engineer
Data Engineers,Accroid Inc,"Austin, TX",Austin,TX,3 months ago,135 applicants,"$110,900.00/yr - $145,600.00/yr",110900,145600,Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Engineer
Data/Analytics Engineer,Vectra AI,"Austin, TX",Austin,TX,1 week ago,,"$130,000.00/yr - $150,000.00/yr",130000,150000,Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet",Information Technology and Services,Data Analyst
Data Engineer,Cloudflare,"Austin, TX",Austin,TX,6 days ago,,"$100,000.00/yr - $150,000.00/yr",100000,150000,Associate,Full-time,Information Technology,"IT Services and IT Consulting, Technology, Information and Internet, and Computer and Network Security",Information Technology and Services,Data Engineer
Data Engineer,Nomi Health,"Austin, TX",Austin,TX,2 months ago,,"$110,900.00/yr - $145,600.00/yr",110900,145600,Not Applicable,Full-time,Information Technology,Hospitals and Health Care,Healthcare and Life Sciences,Data Engineer
Data Engineer,Augment Jobs,"Austin, TX",Austin,TX,2 months ago,,"$130,000.00/yr - $160,000.00/yr",130000,160000,Entry level,Full-time,Information Technology,Financial Services and Venture Capital and Private Equity Principals,Finance and Insurance,Data Engineer
Data Engineer,Amazon,"Austin, TX",Austin,TX,2 weeks ago,,"$118,900.00/yr - $205,600.00/yr",118900,205600,Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology",Software Development,Information Technology and Services,Data Engineer
Python Data Engineer + GCP,Zortech Solutions,"Austin, TX",Austin,TX,1 month ago,,"$130,000.00/yr - $150,000.00/yr",130000,150000,Entry level,Full-time,Information Technology,Human Resources Services,Others,Data Engineer
Data Engineer,Palisades Group,"Austin, TX",Austin,TX,2 weeks ago,,"$110,000.00/yr - $150,000.00/yr",110000,150000,Not Applicable,Full-time,Information Technology,Investment Management,Finance and Insurance,Data Engineer
Data Engineer,Accroid Inc,"Austin, TX",Austin,TX,2 months ago,,"$120,900.00/yr - $145,600.00/yr",120900,145600,Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Engineer
Software Engineer - New College Graduate,Vectra AI,"Austin, TX",Austin,TX,1 month ago,,"$130,000.00/yr - $150,000.00/yr",130000,150000,Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",Information Technology and Services,Others
Data Engineer,Millennium Health,"San Diego, CA",San Diego,CA,1 month ago,111 applicants,"$90,000.00/yr - $105,000.00/yr",90000,105000,Entry level,Full-time,Information Technology,Non-profit Organizations and Primary and Secondary Education,Non-profit and Education,Data Engineer
Data Engineer,McCarthy & Holthus LLP,"San Diego, CA",San Diego,CA,1 month ago,69 applicants,"$130,000.00/yr - $160,000.00/yr",130000,160000,Associate,Full-time,Strategy/Planning and Information Technology,Law Practice,Professional Services and Consulting,Data Engineer
"Data Engineer, ETL, Senior",Zapata Technology,"San Diego, CA",San Diego,CA,2 months ago,34 applicants,"$125,000.00/yr - $150,000.00/yr",125000,150000,Mid-Senior level,Full-time,Information Technology,Software Development,Information Technology and Services,Data Engineer
Data Engineer,"XiFin, Inc.",San Diego Metropolitan Area,San Diego Metropolitan Area,CA,2 weeks ago,,"$67,000.00/yr - $75,000.00/yr",67000,75000,Entry level,Full-time,Information Technology,Business Intelligence Platforms and Internet Publishing,Information Technology and Services,Data Engineer
"Business Intelligence Engineer, Amazon",Amazon Business,"Palo Alto, CA",Palo Alto,CA,5 days ago,177 applicants,"$89,600.00/yr - $185,000.00/yr",89600,185000,Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology",Retail,Retail and Consumer Services,Data Analyst
Applied Machine Learning Engineer - Causal Inference Recommendation,DoorDash,"Sunnyvale, CA",Sunnyvale,CA,1 day ago,99 applicants,"$95,000.00/yr - $135,000.00/yr",95000,135000,Entry level,Full-time,Engineering and Information Technology,Software Development,Information Technology and Services,Machine Learning Engineer
Machine Learning Engineer,Atlassian,"Mountain View, CA",Mountain View,CA,5 days ago,185 applicants,"$156,000.00/yr - $231,100.00/yr",156000,231100,Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,Information Technology and Services,Machine Learning Engineer
Staff Software Engineer - Data Applications,LinkedIn,"Sunnyvale, CA",Sunnyvale,CA,4 days ago,107 applicants,"$147,000.00/yr - $240,000.00/yr",147000,240000,Not Applicable,Full-time,Engineering,"Technology, Information and Internet and IT Services and IT Consulting",Information Technology and Services,Data Analyst
Machine Learning Engineer - Delivery Excellence,DoorDash,"Sunnyvale, CA",Sunnyvale,CA,1 day ago,116 applicants,"$95,000.00/yr - $135,000.00/yr",95000,135000,Entry level,Full-time,Engineering and Information Technology,Software Development,Information Technology and Services,Machine Learning Engineer
Senior Data Engineer,Discord,"San Francisco, CA",San Francisco,CA,2 days ago,,"$183,000.00/yr - $201,500.00/yr",183000,201500,Mid-Senior level,Full-time,Information Technology,Software Development,Information Technology and Services,Data Engineer
Data Analytics Engineer,KYYBA Inc,"San Francisco, CA",San Francisco,CA,1 month ago,,"$183,000.00/yr - $201,500.00/yr",183000,201500,Mid-Senior level,Full-time,Other,IT Services and IT Consulting,Information Technology and Services,Data Analyst
Data Engineer,Replicate,"San Francisco, CA",San Francisco,CA,1 week ago,,"$183,000.00/yr - $201,500.00/yr",183000,201500,Mid-Senior level,Full-time,Engineering,"Technology, Information and Media",Media and Entertainment,Data Engineer
